SKU,product_name,stock_level,product_location,date_added,added_by_name,product_description
SKU-10001,Umbrella,150,New York,2024-04-15,Jane Doe,"Portable rain and sun protection."
SKU-10002,Poncho,200,Seattle,2024-04-16,John Smith,"Lightweight waterproof body cover."
SKU-10003,Rubber Boots,80,Portland,2024-04-17,Alice Johnson,"Waterproof footwear for wet conditions."
SKU-10004,Hand Warmer,300,Chicago,2024-01-10,Robert Brown,"Disposable heat pack for warmth."
SKU-10005,Thermal Socks,120,Boston,2024-01-11,Emily Davis,"Insulated socks for cold weather."
SKU-10006,Hot Chocolate Mix,250,Denver,2024-01-12,Michael Miller,"Powdered mix for a warm beverage."
SKU-10007,Tea Sampler,90,San Francisco,2024-02-05,Sarah Wilson,"Assortment of various tea blends."
SKU-10008,Coffee Beans,110,New York,2024-02-06,David Moore,"Whole beans for fresh brewing."
SKU-10009,Instant Soup,400,Seattle,2024-02-07,Jessica Taylor,"Quick-prepare soup mix."
SKU-10010,Rain Tarp,60,Portland,2024-05-01,Chris Anderson,"Heavy-duty waterproof covering."
SKU-10011,Sunscreen,220,Los Angeles,2024-06-01,Jane Doe,"SPF 50 broad-spectrum skin protection."
SKU-10012,Aloe Vera Gel,180,Miami,2024-06-02,John Smith,"Soothing gel for sunburn relief."
SKU-10013,Portable Fan,95,Phoenix,2024-06-03,Alice Johnson,"Battery-operated personal cooling fan."
SKU-10014,Cooling Towel,130,Austin,2024-06-04,Robert Brown,"Evaporative towel for staying cool."
SKU-10015,Wide-Brim Hat,70,San Diego,2024-06-05,Emily Davis,"Sun hat for maximum face and neck shade."
SKU-10016,Sunglasses,160,Los Angeles,2024-06-10,Michael Miller,"UV protection eyewear."
SKU-10017,Insulated Water Bottle,190,Houston,2024-06-11,Sarah Wilson,"Keeps drinks cold for hours."
SKU-10018,Lemonade Mix,300,Dallas,2024-06-12,David Moore,"Powdered drink mix."
SKU-10019,Iced Tea Concentrate,85,San Antonio,2024-06-13,Jessica Taylor,"Liquid concentrate for making iced tea."
SKU-10020,Popsicle Mold,100,Phoenix,2024-06-14,Chris Anderson,"Silicone mold for frozen treats."
SKU-10021,Hearing Protection,210,Nashville,2024-07-01,Jane Doe,"Earmuffs to reduce noise levels."
SKU-10022,Picnic Blanket,115,San Francisco,2024-07-02,John Smith,"Water-resistant outdoor blanket."
SKU-10023,Folding Chair,140,Austin,2024-07-03,Alice Johnson,"Portable seating for events."
SKU-10024,Binoculars,65,Denver,2024-07-04,Robert Brown,"Magnifies distant objects."
SKU-10025,Portable Charger,350,Chicago,2024-07-05,Emily Davis,"Power bank for mobile devices."
SKU-10026,First-Aid Kit,105,Portland,2024-07-06,Michael Miller,"Basic supplies for minor injuries."
SKU-10027,Bug Spray,280,Houston,2024-05-15,Sarah Wilson,"Insect repellent spray."
SKU-10028,Camping Lantern,80,Seattle,2024-05-16,David Moore,"Battery-powered light for outdoors."
SKU-10029,Backpack,170,New York,2024-08-01,Jessica Taylor,"Durable bag for carrying items."
SKU-10030,Waist Pack,130,Miami,2024-08-02,Chris Anderson,"Small bag worn around the waist."
SKU-10031,Camera Lens,45,New York,2024-03-10,Jane Doe,"Interchangeable lens for DSLR/mirrorless."
SKU-10032,Tripod,60,San Francisco,2024-03-11,John Smith,"Three-legged stand for camera stability."
SKU-10033,Memory Card,400,Los Angeles,2024-03-12,Alice Johnson,"Digital storage for cameras."
SKU-10034,Guidebook,90,Boston,2024-03-13,Robert Brown,"Travel book with area information."
SKU-10035,Travel Pillow,150,Chicago,2024-03-14,Emily Davis,"Neck support for sleeping while traveling."
SKU-10036,Luggage Tag,250,Dallas,2024-03-15,Michael Miller,"Identification tag for baggage."
SKU-10037,Passport Holder,110,Miami,2024-03-16,Sarah Wilson,"Protective cover for passports."
SKU-10038,Travel Adapter,180,New York,2024-03-17,David Moore,"Universal plug adapter for outlets."
SKU-10039,Journal,200,Portland,2024-03-18,Jessica Taylor,"Blank book for writing."
